,0
0,1.5990038175750834
1,1.6323163971078978
2,1.6323163971078978
3,1.6323163971078978
4,1.6323163971078978
5,1.6323163971078978
6,1.6323163971078978
7,1.6323163971078978
8,1.6323163971078978
9,1.6323163971078978
10,1.6323163971078978
11,1.6323163971078978
12,1.6323163971078978
13,1.6323163971078978
14,1.6323163971078978
15,1.6323163971078978
16,1.6323163971078978
17,1.6323163971078978
18,1.6323163971078978
19,1.6323163971078978
20,1.6323163971078978
21,1.6323163971078978
22,1.6323163971078978
23,1.6323163971078978
24,1.6323163971078978
25,1.6323163971078978
26,1.6323163971078978
27,1.6323163971078978
28,1.6323163971078978
29,1.6323163971078978
30,1.6323163971078978
31,1.6323163971078978
32,1.6323163971078978
33,1.6323163971078978
34,1.665628976640712
35,1.665628976640712
36,1.6323163971078978
37,1.6323163971078978
38,1.6323163971078978
